AOrthodox,ASouthpaw,ASwitch,ATakedownsPer25,ATimesTakendownPer25,AChinGrade,ADefensiveGrade,AFighterGrade,AFightsTracked,AGrapplingGrade,AStrikingGrade,AKnockdownsPer25,AStunsPer25,ASubAttemptsPer25,ATimesKnockedDownPer25,ATimesStunnedPer25,AStrikesLandedPerMin,AStrikesThrownPerMin,APunchesLandedPerMin,APunchesThrownPerMin,AKicksLandedPerMin,AKicksThrownPerMin,AKicksAbsorbedPerMin,APunchesAbsorbedPerMin,BOrthodox,BSouthpaw,BSwitch,BTakedownsPer25,BTimesTakendownPer25,BChinGrade,BDefensiveGrade,BFighterGrade,BFightsTracked,BGrapplingGrade,BStrikingGrade,BKnockdownsPer25,BStunsPer25,BSubAttemptsPer25,BTimesKnockedDownPer25,BTimesStunnedPer25,BStrikesLandedPerMin,BStrikesThrownPerMin,BPunchesLandedPerMin,BPunchesThrownPerMin,BKicksLandedPerMin,BKicksThrownPerMin,BKicksAbsorbedPerMin,BPunchesAbsorbedPerMin,AStyle,BStyle,AOdds,BOdds,Winner,AName,BName
1,0,0,1.2,0.0,88.0,84.0,81.0,5,75.0,79.0,0.8,0.4,0.4,0.0,0.4,4.5,9.9,1.9,5.6,0.9,1.7,1.1,0.9,1,0,0,0.0,2.1,70.0,85.0,78.0,6,77.0,72.0,0.3,0.3,1.3,0.9,1.6,2.5,6.1,1.5,4.3,0.6,1.0,1.2,1.2,0,0,0,0,0,Aleksandar Rakic,Anthony Smith
1,0,0,1.2,0.0,88.0,84.0,81.0,5,75.0,79.0,0.8,0.4,0.4,0.0,0.4,4.5,9.9,1.9,5.6,0.9,1.7,1.1,0.9,0,0,1,1.4000000000000001,1.0,89.0,85.0,83.0,7,81.0,72.0,0.6,0.4,0.0,0.2,0.4,2.8,6.5,0.9,3.4,1.5,2.4,1.3,0.8,0,0,0,0,0,Aleksandar Rakic,Thiago Santos
0,0,1,0.1,1.2000000000000002,82.0,84.0,87.0,10,76.0,95.0,1.0,0.5,0.2,0.1,0.4,4.8,9.5,2.3,5.8,1.7,2.7,0.8,1.7,1,0,0,1.7999999999999998,2.8000000000000003,97.0,83.0,87.0,4,76.0,93.0,1.7,2.3,0.0,0.0,0.6,9.3,12.1,5.5,7.7,1.5,2.1,1.2,2.5,0,0,0,0,1,Israel Adesanya,Alex Pereira
0,0,1,0.7,3.7,98.0,87.0,95.0,7,90.0,96.0,0.0,2.1,2.8,0.0,0.0,6.9,14.2,4.3,10.4,1.0,1.7,0.5,2.4,0,1,0,5.1,1.1,85.0,83.0,96.0,8,90.0,90.0,0.4,0.4,1.1,0.0,0.2,7.8,10.3,2.7,4.5,1.1,1.5,0.9,0.5,0,1,0,0,0,Alexa Grasso,Valentina Shevchenko
1,0,0,0.4,0.9,94.0,83.0,88.0,6,81.0,94.0,0.3,1.2,0.3,0.0,0.0,4.7,12.1,3.5,10.0,0.9,1.7,1.6,2.2,1,0,0,0.6000000000000001,1.2,98.0,86.0,98.0,7,92.0,91.0,0.5,0.6,0.0,0.5,0.5,4.9,8.9,2.4,5.6,1.4,2.0,0.6,1.2,0,0,0,0,1,Max Holloway,Alexander Volkanovski
1,0,0,0.6000000000000001,1.2,98.0,86.0,98.0,7,92.0,91.0,0.5,0.6,0.0,0.5,0.5,4.9,8.9,2.4,5.6,1.4,2.0,0.6,1.2,1,0,0,0.4,0.9,94.0,83.0,88.0,6,81.0,94.0,0.3,1.2,0.3,0.0,0.0,4.7,12.1,3.5,10.0,0.9,1.7,1.6,2.2,0,0,0,0,0,Alexander Volkanovski,Max Holloway
0,0,1,2.0,0.0,94.0,84.0,84.0,3,77.0,82.0,0.5,0.5,1.9,0.0,0.0,3.7,8.9,2.3,6.9,1.2,1.6,1.3,2.8,1,0,0,0.6000000000000001,1.2,98.0,86.0,98.0,7,92.0,91.0,0.5,0.6,0.0,0.5,0.5,4.9,8.9,2.4,5.6,1.4,2.0,0.6,1.2,0,0,0,0,1,Brian Ortega,Alexander Volkanovski
1,0,0,0.6000000000000001,1.2,98.0,86.0,98.0,7,92.0,91.0,0.5,0.6,0.0,0.5,0.5,4.9,8.9,2.4,5.6,1.4,2.0,0.6,1.2,1,0,0,0.0,0.4,91.0,83.0,86.0,4,86.0,70.0,0.0,0.4,0.4,0.4,1.1,2.2,5.1,1.4,3.8,0.5,0.7,0.9,1.6,0,0,0,0,0,Alexander Volkanovski,Jose Aldo
1,0,0,0.4,0.9,94.0,83.0,88.0,6,81.0,94.0,0.3,1.2,0.3,0.0,0.0,4.7,12.1,3.5,10.0,0.9,1.7,1.6,2.2,1,0,0,0.6000000000000001,1.2,98.0,86.0,98.0,7,92.0,91.0,0.5,0.6,0.0,0.5,0.5,4.9,8.9,2.4,5.6,1.4,2.0,0.6,1.2,0,0,0,0,1,Max Holloway,Alexander Volkanovski
1,0,0,3.5,1.0,73.0,80.0,79.0,8,76.0,74.0,1.5,1.5,1.0,0.5,1.0,4.7,7.5,2.7,5.3,0.4,0.4,0.5,0.9,0,1,0,5.0,5.0,64.0,82.0,80.0,5,81.0,76.0,0.0,0.0,2.5,10.0,0.0,5.2,10.3,2.4,6.4,1.0,1.6,0.1,1.4,0,0,0,0,0,Alonzo Menifield,Misha Cirkunov
1,0,0,3.0,1.2,96.0,79.0,84.0,7,82.0,69.0,0.6,0.0,3.7,0.0,1.8,2.4,4.3,0.6,1.7,0.3,0.8,0.3,0.3,1,0,0,3.5,1.0,73.0,80.0,79.0,8,76.0,74.0,1.5,1.5,1.0,0.5,1.0,4.7,7.5,2.7,5.3,0.4,0.4,0.5,0.9,1,0,0,0,1,Paul Craig,Alonzo Menifield
1,0,0,0.0,2.1,70.0,85.0,78.0,6,77.0,72.0,0.3,0.3,1.3,0.9,1.6,2.5,6.1,1.5,4.3,0.6,1.0,1.2,1.2,1,0,0,16.599999999999998,1.7,79.0,80.0,82.0,6,77.0,80.0,5.0,0.0,3.3,3.3,0.0,5.4,10.3,1.3,3.8,1.7,3.1,0.5,2.1,0,0,0,0,0,Anthony Smith,Jimmy Crute
1,0,0,4.2,5.6,90.0,77.0,86.0,9,82.0,85.0,4.2,2.1,7.6,0.7,2.8,4.1,8.8,3.1,7.5,0.3,0.5,0.9,1.9,1,0,0,0.0,2.1,70.0,85.0,78.0,6,77.0,72.0,0.3,0.3,1.3,0.9,1.6,2.5,6.1,1.5,4.3,0.6,1.0,1.2,1.2,1,0,0,0,1,Ryan Spann,Anthony Smith
0,0,1,4.800000000000001,0.4,75.0,87.0,81.0,10,81.0,70.0,0.0,1.1,1.1,0.5,0.9,5.1,14.7,2.8,10.4,0.4,0.9,0.7,1.9,0,0,1,0.0,2.8,74.0,88.0,85.0,3,81.0,90.0,0.4,2.5,0.0,0.4,0.4,7.0,13.6,4.7,10.0,1.4,2.4,0.9,1.6,1,0,0,0,0,Belal Muhammad,Stephen Thompson
1,0,0,0.0,3.7,79.0,83.0,86.0,3,81.0,90.0,1.6,1.1,0.5,1.1,1.6,4.5,12.0,2.5,9.0,1.6,2.3,0.7,3.4,0,0,1,4.800000000000001,0.4,75.0,87.0,81.0,10,81.0,70.0,0.0,1.1,1.1,0.5,0.9,5.1,14.7,2.8,10.4,0.4,0.9,0.7,1.9,0,1,0,0,1,Vicente Luque,Belal Muhammad
0,1,0,5.8,2.9,93.0,87.0,89.0,3,87.0,79.0,1.0,0.0,4.8,1.0,1.0,3.8,8.4,1.8,5.5,0.9,1.7,0.4,1.4,0,0,1,10.1,0.3,74.0,90.0,90.0,7,94.0,74.0,0.3,0.3,1.2,0.9,0.9,3.9,7.4,2.1,5.0,0.6,0.8,1.3,1.2,0,1,0,0,0,Beneil Dariush,Mateusz Gamrot
0,1,0,0.0,7.700000000000001,84.0,86.0,88.0,3,87.0,74.0,2.2,1.1,1.1,2.2,0.0,4.0,6.3,1.6,3.7,0.4,0.5,0.2,1.2,0,1,0,5.8,2.9,93.0,87.0,89.0,3,87.0,79.0,1.0,0.0,4.8,1.0,1.0,3.8,8.4,1.8,5.5,0.9,1.7,0.4,1.4,1,0,0,0,1,Drew Dober,Beneil Dariush
1,0,0,1.6,2.0,92.0,89.0,97.0,8,92.0,87.0,0.6,1.2,0.8,0.6,0.6,4.9,10.6,3.1,8.1,0.4,0.8,0.9,1.9,0,0,1,1.9,3.8,72.0,89.0,95.0,9,90.0,96.0,1.9,0.5,1.9,0.2,1.2,4.1,6.8,2.5,4.7,0.7,1.0,0.7,2.6,0,1,0,0,0,Brandon Moreno,Deiveson Figueiredo
0,1,0,0.5,6.0,94.0,80.0,83.0,4,81.0,71.0,0.0,0.9,0.0,0.0,0.9,5.0,8.6,3.8,7.2,0.2,0.4,1.1,6.0,0,1,0,0.0,6.8,75.0,83.0,83.0,6,81.0,82.0,0.4,2.8,1.6,1.6,1.2,6.5,14.2,4.0,10.8,1.0,1.5,0.9,2.7,0,0,0,0,1,Robbie Lawler,Bryan Barberena
1,0,0,0.0,0.0,71.0,78.0,79.0,3,77.0,74.0,7.1,0.0,0.0,7.1,0.0,7.9,12.6,5.6,9.6,0.9,1.4,0.9,3.7,1,0,0,2.0,0.5,88.0,78.0,83.0,6,82.0,75.0,0.0,0.0,2.8,1.4,0.5,6.7,14.1,4.4,11.1,0.9,1.3,0.8,3.4,0,0,0,0,0,Chris Daukaus,Parker Porter
1,0,0,0.8999999999999999,4.4,84.0,85.0,82.0,10,82.0,67.0,0.7,2.4,0.0,1.4,2.4,2.2,4.3,1.2,2.8,0.2,0.6,0.8,1.3,0,0,1,1.8,1.1,84.0,85.0,87.0,10,82.0,93.0,0.9,2.1,1.0,0.2,0.2,5.7,8.6,3.2,5.5,2.2,2.8,1.0,1.2,0,0,0,0,1,Derrick Lewis,Ciryl Gane
0,0,1,1.8,1.1,84.0,85.0,87.0,10,82.0,93.0,0.9,2.1,1.0,0.2,0.2,5.7,8.6,3.2,5.5,2.2,2.8,1.0,1.2,1,0,0,0.0,2.0,84.0,85.0,82.0,3,77.0,76.0,2.0,0.0,0.0,1.0,0.0,3.2,7.4,1.6,5.2,0.9,1.2,2.3,2.8,0,0,0,0,0,Ciryl Gane,Jairzinho Rozenstruik
1,0,0,0.0,0.0,83.0,76.0,83.0,3,77.0,88.0,1.8,5.4,0.0,1.8,7.1,4.9,8.9,2.6,5.4,0.9,1.6,3.2,1.9,0,0,1,1.8,1.1,84.0,85.0,87.0,10,82.0,93.0,0.9,2.1,1.0,0.2,0.2,5.7,8.6,3.2,5.5,2.2,2.8,1.0,1.2,0,0,0,0,1,Junior Dos Santos,Ciryl Gane
0,0,1,1.8,1.1,84.0,85.0,87.0,10,82.0,93.0,0.9,2.1,1.0,0.2,0.2,5.7,8.6,3.2,5.5,2.2,2.8,1.0,1.2,1,0,0,0.0,8.1,64.0,84.0,78.0,4,77.0,73.0,1.8,0.9,0.0,0.9,5.4,2.0,6.7,1.1,5.1,0.8,1.3,1.8,3.1,0,0,0,0,0,Ciryl Gane,Tai Tuivasa
0,0,1,1.5,3.9,94.0,86.0,89.0,6,81.0,91.0,1.2,0.6,0.0,0.6,1.2,4.5,8.2,2.0,4.6,1.1,1.7,0.2,2.1,0,0,1,4.7,0.6000000000000001,75.0,87.0,81.0,5,78.0,78.0,0.0,0.8,1.5,0.8,1.0,7.5,16.1,4.6,12.1,0.9,1.4,0.6,2.6,0,1,0,0,1,Jorge Masvidal,Colby Covington
0,0,1,4.7,0.6000000000000001,75.0,87.0,81.0,5,78.0,78.0,0.0,0.8,1.5,0.8,1.0,7.5,16.1,4.6,12.1,0.9,1.4,0.6,2.6,0,1,0,0.5,6.0,94.0,80.0,83.0,4,81.0,71.0,0.0,0.9,0.0,0.0,0.9,5.0,8.6,3.8,7.2,0.2,0.4,1.1,6.0,1,0,0,0,0,Colby Covington,Robbie Lawler
1,0,0,0.4,2.8999999999999995,92.0,82.0,83.0,3,81.0,67.0,0.0,0.0,1.4,0.7,0.4,1.9,4.9,0.9,3.5,0.2,0.2,0.7,0.9,0,0,1,4.7,0.6000000000000001,75.0,87.0,81.0,5,78.0,78.0,0.0,0.8,1.5,0.8,1.0,7.5,16.1,4.6,12.1,0.9,1.4,0.6,2.6,0,1,0,0,1,Tyron Woodley,Colby Covington
0,0,1,1.9,3.8,72.0,89.0,95.0,9,90.0,96.0,1.9,0.5,1.9,0.2,1.2,4.1,6.8,2.5,4.7,0.7,1.0,0.7,2.6,1,0,0,1.6,2.0,92.0,89.0,97.0,8,92.0,87.0,0.6,1.2,0.8,0.6,0.6,4.9,10.6,3.1,8.1,0.4,0.8,0.9,1.9,1,0,0,0,0,Deiveson Figueiredo,Brandon Moreno
1,0,0,1.6,2.0,92.0,89.0,97.0,8,92.0,87.0,0.6,1.2,0.8,0.6,0.6,4.9,10.6,3.1,8.1,0.4,0.8,0.9,1.9,0,0,1,1.9,3.8,72.0,89.0,95.0,9,90.0,96.0,1.9,0.5,1.9,0.2,1.2,4.1,6.8,2.5,4.7,0.7,1.0,0.7,2.6,0,1,0,0,1,Brandon Moreno,Deiveson Figueiredo
0,1,0,5.5,0.3,76.0,86.0,81.0,6,75.0,82.0,0.7,1.7,1.4,1.0,1.7,6.8,11.1,3.4,6.5,1.0,1.8,0.5,2.1,0,1,0,1.2,4.5,77.0,87.0,80.0,5,76.0,77.0,0.6,1.0,0.3,0.6,0.6,3.5,6.6,2.6,5.3,0.6,0.8,0.9,1.8,0,0,0,0,0,Derek Brunson,Darren Till
1,0,0,0.0,0.0,71.0,78.0,79.0,3,77.0,74.0,7.1,0.0,0.0,7.1,0.0,7.9,12.6,5.6,9.6,0.9,1.4,0.9,3.7,1,0,0,0.8999999999999999,4.4,84.0,85.0,82.0,10,82.0,67.0,0.7,2.4,0.0,1.4,2.4,2.2,4.3,1.2,2.8,0.2,0.6,0.8,1.3,0,0,0,0,1,Chris Daukaus,Derrick Lewis
0,1,0,0.0,7.700000000000001,84.0,86.0,88.0,3,87.0,74.0,2.2,1.1,1.1,2.2,0.0,4.0,6.3,1.6,3.7,0.4,0.5,0.2,1.2,0,1,0,14.2,0.0,64.0,87.0,88.0,4,87.0,87.0,10.7,0.0,7.1,3.6,3.6,9.0,16.9,4.0,7.9,0.1,1.3,0.7,0.6,1,1,0,0,0,Drew Dober,Terrance McKinney
0,1,0,1.2,4.5,77.0,87.0,80.0,5,76.0,77.0,0.6,1.0,0.3,0.6,0.6,3.5,6.6,2.6,5.3,0.6,0.8,0.9,1.8,0,0,1,5.0,0.5,96.0,84.0,90.0,5,81.0,96.0,1.5,2.0,2.9,1.0,1.5,5.4,10.9,2.3,5.9,1.3,2.3,0.8,1.5,0,0,0,0,1,Darren Till,Dricus Du Plessis
0,0,1,5.0,0.5,96.0,84.0,90.0,5,81.0,96.0,1.5,2.0,2.9,1.0,1.5,5.4,10.9,2.3,5.9,1.3,2.3,0.8,1.5,0,1,0,5.5,0.3,76.0,86.0,81.0,6,75.0,82.0,0.7,1.7,1.4,1.0,1.7,6.8,11.1,3.4,6.5,1.0,1.8,0.5,2.1,0,0,0,0,0,Dricus Du Plessis,Derek Brunson
1,0,0,2.0,4.800000000000001,73.0,90.0,92.0,9,91.0,96.0,0.4,3.6,0.4,0.4,1.2,8.0,15.5,5.3,12.1,1.9,2.4,0.7,4.0,1,0,0,5.300000000000001,1.1,74.0,90.0,92.0,5,92.0,90.0,0.0,0.5,3.3,0.0,0.0,9.6,14.7,3.2,7.0,0.9,1.4,0.7,2.2,0,1,0,0,1,Jessica Andrade,Erin Blanchfield
0,1,0,0.2,1.2,94.0,81.0,86.0,8,80.0,83.0,1.2,2.2,0.0,0.2,0.5,4.8,10.6,3.6,8.9,0.4,0.7,1.2,3.6,0,0,1,4.800000000000001,0.4,75.0,87.0,81.0,10,81.0,70.0,0.0,1.1,1.1,0.5,0.9,5.1,14.7,2.8,10.4,0.4,0.9,0.7,1.9,0,1,0,0,0,Geoff Neal,Belal Muhammad
1,0,0,0.0,3.7,79.0,83.0,86.0,3,81.0,90.0,1.6,1.1,0.5,1.1,1.6,4.5,12.0,2.5,9.0,1.6,2.3,0.7,3.4,0,1,0,0.2,1.2,94.0,81.0,86.0,8,80.0,83.0,1.2,2.2,0.0,0.2,0.5,4.8,10.6,3.6,8.9,0.4,0.7,1.2,3.6,0,0,0,0,1,Vicente Luque,Geoff Neal
0,1,0,0.2,1.2,94.0,81.0,86.0,8,80.0,83.0,1.2,2.2,0.0,0.2,0.5,4.8,10.6,3.6,8.9,0.4,0.7,1.2,3.6,1,0,0,1.5,0.0,94.0,80.0,81.0,5,76.0,76.0,0.0,0.0,0.0,0.9,0.9,4.2,13.6,3.3,12.3,0.9,1.2,2.0,2.6,0,0,0,0,0,Geoff Neal,Santiago Ponzinibbio
1,0,0,3.0,2.5,88.0,79.0,80.0,4,78.0,68.0,0.0,0.5,2.0,0.5,0.0,4.8,5.7,0.8,1.4,0.2,0.4,0.5,0.4,1,0,0,2.9000000000000004,0.8999999999999999,93.0,82.0,85.0,8,78.0,83.0,1.1,0.5,1.6,0.8,0.3,4.7,8.9,2.0,5.2,1.0,1.5,0.8,1.5,1,1,0,0,1,Gunnar Nelson,Gilbert Burns
1,0,0,2.9000000000000004,0.8999999999999999,93.0,82.0,85.0,8,78.0,83.0,1.1,0.5,1.6,0.8,0.3,4.7,8.9,2.0,5.2,1.0,1.5,0.8,1.5,1,0,0,4.7,2.6,95.0,81.0,82.0,5,78.0,72.0,0.0,0.4,1.3,0.0,0.4,5.7,10.2,3.0,6.7,0.5,0.9,0.2,0.9,1,1,0,0,0,Gilbert Burns,Neil Magny
1,0,0,0.4,2.8999999999999995,92.0,82.0,83.0,3,81.0,67.0,0.0,0.0,1.4,0.7,0.4,1.9,4.9,0.9,3.5,0.2,0.2,0.7,0.9,1,0,0,2.9000000000000004,0.8999999999999999,93.0,82.0,85.0,8,78.0,83.0,1.1,0.5,1.6,0.8,0.3,4.7,8.9,2.0,5.2,1.0,1.5,0.8,1.5,0,1,0,0,1,Tyron Woodley,Gilbert Burns
1,0,0,3.5,2.1,73.0,85.0,80.0,13,82.0,66.0,0.6,1.4,2.3,1.1,2.3,4.8,9.1,2.2,5.0,0.1,0.2,0.5,1.8,1,0,0,0.0,2.1,70.0,85.0,78.0,6,77.0,72.0,0.3,0.3,1.3,0.9,1.6,2.5,6.1,1.5,4.3,0.6,1.0,1.2,1.2,1,0,0,0,0,Glover Teixeira,Anthony Smith
1,0,0,4.1,1.0,82.0,79.0,81.0,5,77.0,71.0,0.0,1.0,1.0,1.0,2.1,3.1,8.8,1.2,5.8,0.5,1.2,0.4,1.7,1,0,0,3.5,2.1,73.0,85.0,80.0,13,82.0,66.0,0.6,1.4,2.3,1.1,2.3,4.8,9.1,2.2,5.0,0.1,0.2,0.5,1.8,0,1,0,0,1,Ion Cutelaba,Glover Teixeira
1,0,0,3.5,2.1,73.0,85.0,80.0,13,82.0,66.0,0.6,1.4,2.3,1.1,2.3,4.8,9.1,2.2,5.0,0.1,0.2,0.5,1.8,1,0,0,0.6,1.0,86.0,83.0,88.0,9,77.0,93.0,0.5,0.9,0.2,0.0,0.3,6.5,9.8,3.7,6.2,1.1,1.6,1.0,0.9,1,0,0,0,0,Glover Teixeira,Jan Blachowicz
0,0,1,0.0,3.6,78.0,85.0,81.0,3,76.0,78.0,0.5,1.5,0.0,0.5,0.0,4.0,7.1,2.6,5.2,0.6,0.9,1.2,1.4,1,0,0,3.5,2.1,73.0,85.0,80.0,13,82.0,66.0,0.6,1.4,2.3,1.1,2.3,4.8,9.1,2.2,5.0,0.1,0.2,0.5,1.8,0,1,0,0,1,Jared Cannonier,Glover Teixeira
1,0,0,3.5,2.1,73.0,85.0,80.0,13,82.0,66.0,0.6,1.4,2.3,1.1,2.3,4.8,9.1,2.2,5.0,0.1,0.2,0.5,1.8,0,1,0,5.0,5.0,64.0,82.0,80.0,5,81.0,76.0,0.0,0.0,2.5,10.0,0.0,5.2,10.3,2.4,6.4,1.0,1.6,0.1,1.4,1,0,0,0,0,Glover Teixeira,Misha Cirkunov
